NOMBRE,TIPO_ENTIDAD,RELACIONADO_CON,TIPO_RELACION
Xiao Di,persona,MOTA-ENGIL SGPS SA,boardmember
MOTA-ENGIL México SA de CV,empresa,Generadora Fénix SAPI de CV,parent
PEMEX,gobierno,,
Gobierno de México,gobierno,PEMEX,shareholder
Transportadora de Gas Natural de la Huasteca S de RL de CV,empresa,,
Tc Energy Corporation,empresa,Transportadora de Gas Natural de la Huasteca S de RL de CV,parent
Beutel Goodman & Co. Ltd.,empresa,Tc Energy Corporation,shareholder
BMO Asset Management Corp.,empresa,Tc Energy Corporation,shareholder
Canada Pension Plan Investment Board,gobierno,Tc Energy Corporation,shareholder
Canadian Imperial Bank of Commerce,empresa,Tc Energy Corporation,shareholder
Capital Research & Mgmt Co.,empresa,Tc Energy Corporation,shareholder
Deutsche Asset & Wealth Management,empresa,Tc Energy Corporation,shareholder
Dodge & Cox,empresa,Tc Energy Corporation,shareholder
DWS Investment GmbH,empresa,Tc Energy Corporation,shareholder
Fidelity International Ltd.,empresa,Tc Energy Corporation,shareholder
Healthcare of Ontario Pension Plan,gobierno,Tc Energy Corporation,shareholder
Jarislowsky Fraser Ltd.,empresa,Tc Energy Corporation,shareholder
Mackenzie Financial Corp.,empresa,Tc Energy Corporation,shareholder
Merrill Lynch Pierce Fenner & Smith Inc.,empresa,Tc Energy Corporation,shareholder
Murchinson Ltd.,empresa,Tc Energy Corporation,shareholder
National Bank Investments Inc.,empresa,Tc Energy Corporation,shareholder
Norges Bank Investment Management,gobierno,Tc Energy Corporation,shareholder
RBC Dominion Securities Inc.,empresa,Tc Energy Corporation,shareholder
RBC Global Asset Management Inc.,empresa,Tc Energy Corporation,shareholder
Royal Bank of Canada,empresa,Tc Energy Corporation,shareholder
Scotia Asset Management LP,empresa,Tc Energy Corporation,shareholder
T. Rowe Price Group Inc.,empresa,Tc Energy Corporation,shareholder
TD Asset Management Inc.,empresa,Tc Energy Corporation,shareholder
The Bank of Nova Scotia,empresa,Tc Energy Corporation,shareholder
The Toronto-Dominion Bank,empresa,Tc Energy Corporation,shareholder
Vanguard Group Inc.,empresa,Tc Energy Corporation,shareholder
Wellington Management Group LLP,empresa,Tc Energy Corporation,shareholder
Cheryl F Campbell,persona,Tc Energy Corporation,boardmember
David B MacNaughton,persona,Tc Energy Corporation,boardmember
Dheeraj Verma,persona,Tc Energy Corporation,boardmember
Francois Lionel Poirier,persona,Tc Energy Corporation,boardmember
Indira Vasanti Samarasekera,persona,Tc Energy Corporation,boardmember
John E Lowe,persona,Tc Energy Corporation,boardmember
Mary Pat Salomone,persona,Tc Energy Corporation,boardmember
Michael Robert Culbert,persona,Tc Energy Corporation,boardmember
Siim Alden Vanaselja,persona,Tc Energy Corporation,boardmember
Susan C Jones,persona,Tc Energy Corporation,boardmember
Thierry Vandal,persona,Tc Energy Corporation,boardmember
Una M Power ,persona,Tc Energy Corporation,boardmember
William Dean Johnson,persona,Tc Energy Corporation,boardmember
